id,schwartz_value_type,schwartz_value_do
1,Universalism,"Promoting justice, equality, and environmental protection. Refers to understanding, appreciating, tolerating, and protecting the welfare of all people and nature. For example: social justice, broad-mindedness, world peace, wisdom, a world of beauty, unity with nature, environmental protection, fairness."
2,Benevolence,Prioritizing close social relationships and the welfare of others.
3,Power,"Seeking dominance, control, and prestige.  Refers to social status and prestige, control or dominance over people and resources."
4,Achievement,"Striving for personal success through competence.  Refers to personal success achieved through demonstrating competence according to social standards. For example: successful, capable, ambitious, influential."
5,Tradition,"Respecting and preserving cultural and religious heritage.  Refers to respect, commitment, and acceptance of the customs and ideas provided by one’s culture or religion. For example: accepting my portion in life, devotion, respect for tradition, humbleness, moderation."
6,Conformity,"Restricting actions that might disrupt social harmony.  Refers to the restraint of actions, inclinations, and impulses that may upset or harm others and violate social expectations or norms. For example: obedient, self-disciplined, polite, honoring parents and elders."
7,Security,"Seeking safety, stability, and social order.  Refers to the safety, harmony, and stability of society, relationships, and self. For example: family security, national security, social order, cleanliness, reciprocation of favors."
8,Self-Direction,"Valuing autonomy in thought and decision-making.  Refers to independent thought and action—choosing, creating, exploring. For example: creativity, curiosity, freedom, independence, choosing own goals."
9,Stimulation,"Seeking excitement, novelty, and challenges.  Refers to excitement, novelty, and challenge in life. For example: a varied life, an exciting life, daring."
10,Hedonism,"Seeking pleasure, enjoyment, and the pursuit of personal.  Refers to pleasure or sensuous gratification for oneself. For example: pleasure, enjoying life."
